Sheet: 5.3.1b
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A85:,B85:,C85:,D85:,E85:,F85: User,G85: Select,H85: Hủy,I85: M,J85: Button,K85: Y,L85:,M85:,N85:,O85:,P85:,Q85:,R85:,S85:,T85:,U85:,V85:
A86:,B86:,C86:,D86:,E86:,F86: User,G86: Select,H86: Gửi,I86: M,J86: Button,K86: Y,L86:,M86:,N86:,O86:,P86:,Q86:,R86:,S86:,T86:,U86:,V86:
A87:,B87:,C87:,D87:,E87:,F87: User,G87: Select,H87: Gửi,I87: M,J87: Button,K87: Y,L87:,M87:,N87:,O87:,P87:,Q87:,R87:,S87:,T87:,U87:,V87:
A88:,B88: 4. Nhập lý do hủy,C88: WM,D88:,E88:,F88:,G88:,H88:,I88:,J88:,K88:,L88:,M88:,N88:,O88:,P88:,Q88:,R88:,S88:,T88:,U88:,V88:
A89:,B89:,C89:,D89:,E89:,F89: User,G89: Nhập,H89: Lý do hủy,I89: M,J89: Text,K89: Y,L89: 150,M89:,N89:,O89:,P89:,Q89:,R89:,S89:,T89:,U89:,V89:
A90:,B90: 5. Unlock tài sản,C90: Hệ thống,D90:,E90:,F90:,G90:,H90:,I90:,J90:,K90:,L90:,M90:,N90:,O90:,P90:,Q90:,R90:,S90:,T90:,U90:,V90:
A91:,B91:,C91:,D91:,E91:,F91: System,G91: Update,H91: Trạng thái lock tài sản,I91:,J91:,K91:,L91:,M91:,N91:,O91:,P91:,Q91: Hệ thống unlock asset. Asset có thể được pickup cho 1 request khác.,R91:,S91:,T91:,U91:,V91:
A92:,B92: 6. Cập nhật trạng thái yêu cầu,C92: Hệ thống,D92:,E92:,F92:,G92:,H92:,I92:,J92:,K92:,L92:,M92:,N92:,O92:,P92:,Q92:,R92:,S92:,T92:,U92:,V92:
A93:,B93:,C93:,D93:,E93:,F93: System,G93: Update,H93: RQ điều chuyển,I93:,J93:,K93:,L93:,M93:,N93:,O93:,P93:,Q93:,R93: Đã hủy,S93:,T93:,U93:,V93:
A94:,B94:,C94:,D94:,E94:,F94: System,G94: Update,H94: RQ nhập kho,I94:,J94:,K94:,L94:,M94:,N94:,O94:,P94:,Q94:,R94: Đã hủy,S94:,T94:,U94:,V94:
A95:,B95: 7. Cập nhật tasklist,C95: Hệ thống,D95:,E95:,F95:,G95:,H95:,I95:,J95:,K95:,L95:,M95:,N95:,O95:,P95:,Q95:,R95:,S95:,T95:,U95:,V95:
A96:,B96:,C96:,D96:,E96:,F96: System,G96: Update,H96: Tasklist WM,I96:,J96:,K96:,L96:,M96:,N96:,O96:,P96:,Q96: "Đã xử lý",R96:,S96:,T96:,U96:,V96:
A97:,B97:,C97:,D97:,E97:,F97: System,G97: Update,H97: Tasklist AMP/BU user,I97:,J97:,K97:,L97:,M97:,N97:,O97:,P97:,Q97: "Cần xử lý",R97:,S97:,T97:,U97:,V97:
A98:,B98:,C98:,D98:,E98:,F98:,G98:,H98:,I98:,J98:,K98:,L98:,M98:,N98:,O98:,P98:,Q98:,R98:,S98:,T98:,U98:,V98:
A99:,B99: 8. Thông báo cho BU/user,C99: Hệ thống,D99:,E99:,F99:,G99:,H99:,I99:,J99:,K99:,L99:,M99:,N99:,O99:,P99:,Q99:,R99:,S99:,T99:,U99:,V99:
A100:,B100:,C100:,D100:,E100:,F100: System,G100: Send,H100: Email notification,I100:,J100: Notification,K100:,L100:,M100:,N100:,O100:,P100:,Q100:,R100:,S100: N.,T100:,U100:,V100:
A101:,B101:,C101:,D101:,E101:,F101: System,G101: Send,H101: Email notification,I101:,J101:,K101:,L101:,M101:,N101:,O101:,P101:,Q101:,R101:,S101:,T101:,U101:,V101:
A102:,B102:,C102:,D102:,E102:,F102:,G102:,H102:,I102:,J102:,K102:,L102:,M102:,N102:,O102:,P102:,Q102:,R102:,S102:,T102:,U102:,V102:
A103:,B103:,C103:,D103:,E103:,F103:,G103:,H103:,I103:,J103:,K103:,L103:,M103:,N103:,O103:,P103:,Q103:,R103:,S103:,T103:,U103:,V103:
